Airline,Post ID,Date,Text (first 100 chars),Views,Outlier Score,Duration,Engagement Rate,Content Theme,Repeatability,Flair Relevance,Flair Takeaway,Video URL
Air Canada,7482780770554203397,2025-03-17,"See it for yourself with non-stop flights from Vancouver ✈️🏝️
//
Découvrez tout cela par vous-mêmes ",20300000,227.6x,19,0.12%,destination,repeatable,steal,Destination showcase content with route-specific hooks drives saves and shares,https://www.tiktok.com/@aircanada/video/7482780770554203397
Air Canada,7505068070856084791,2025-05-16,...but it's just the beginning. From the dreamy Amalfi Coast to ancient Pompeii and the charm of Pug,5000000,56.0x,0,0.13%,destination,repeatable,steal,Destination showcase content with route-specific hooks drives saves and shares,https://www.tiktok.com/@aircanada/video/7505068070856084791
Air Canada,7556261417515568401,2025-10-01,"Sip and soar even more, with free beer, wine and snacks on all flights! 🍻✈️
For full details, visit ",3600000,40.4x,6,0.02%,promo,repeatable,steal,Flash deal content with urgency mechanics drives both engagement and conversion signals,https://www.tiktok.com/@aircanada/video/7556261417515568401
Air Canada,7559620746109029650,2025-10-10,"Something big is about to take off. ✈️ Stay tuned… #FlyTheFlag 🇨🇦
//
Une grande nouvelle s’apprête à",3000000,33.6x,18,0.10%,milestone,moment-dependent,steal,This milestone content pattern is directly replicable for Flair,https://www.tiktok.com/@aircanada/video/7559620746109029650
Air Canada,7561088475907542279,2025-10-14,"Big dreams, big reveal. 🌍 Proud to introduce Team Air Canada, heading to Milano Cortina to represent",2800000,31.4x,49,0.07%,milestone,moment-dependent,steal,This milestone content pattern is directly replicable for Flair,https://www.tiktok.com/@aircanada/video/7561088475907542279
Alaska Airlines,7093888452785392942,2022-05-04,"Welcome aboard, travelers. Next stop…Star Wars: Galaxy’s Edge.",10700000,59.6x,60,0.80%,passenger-story,brand-specific,ignore,"Premium/brand-specific content not transferable to Flair's budget positioning — observe the format, not the execution",https://www.tiktok.com/@alaskaair/video/7093888452785392942
Alaska Airlines,7094765877891157294,2022-05-06,Porg fans not included on future flights but you can BYOP (bring your own Porg) ⭐️ 🪐🛸🚀✨,7800000,43.5x,10,4.23%,humor,repeatable,steal,Budget carriers that own their identity through humor build cult followings on TikTok,https://www.tiktok.com/@alaskaair/video/7094765877891157294
Alaska Airlines,7194595177523318062,2023-01-30,We asked an AI Bot to write us a Big Game commercial and…let’s just say we have a few notes. How abo,4500000,25.1x,67,0.11%,humor,repeatable,steal,Trend-jacking with brand personality drives outsized engagement at zero production cost,https://www.tiktok.com/@alaskaair/video/7194595177523318062
Alaska Airlines,7140762175139810602,2022-09-07,It’s got that new plane smell!🔑✈️ #travel #traveltiktok #aircraft #aviation #plane ,3500000,19.5x,42,2.90%,behind-the-scenes,repeatable,steal,Aviation geek content has a massive built-in audience — aircraft and operations content performs reliably,https://www.tiktok.com/@alaskaair/video/7140762175139810602
Alaska Airlines,7512147436459035934,2025-06-04,Good news for cheese lovers: we’re spreading the love. 🧀✨ Our signature Fruit & Cheese Platter is no,2900000,16.2x,6,1.40%,promo,repeatable,adapt,Promotional content needs TikTok-native execution — Flair deals with personality would perform,https://www.tiktok.com/@alaskaair/video/7512147436459035934
Delta Air Lines,7285423062609235246,2023-10-02,"new in-flight activities unlocked for skymiles members. available on all flights by the end of 2024,",47500000,339.2x,10,0.16%,behind-the-scenes,repeatable,steal,Aviation geek content has a massive built-in audience — aircraft and operations content performs reliably,https://www.tiktok.com/@delta/video/7285423062609235246
Delta Air Lines,7559224803299839262,2025-10-09,"call it Futurecore. at the Delta Sustainable Skies Lab, someday is every day. 🌤️✨ visit the link in ",39500000,282.1x,61,0.15%,behind-the-scenes,repeatable,steal,Aviation geek content has a massive built-in audience — aircraft and operations content performs reliably,https://www.tiktok.com/@delta/video/7559224803299839262
Delta Air Lines,7564416669913845022,2025-10-23,"✨coming soon✨ Group Drop, the new way for Members to access events on SkyMiles Experiences. grab a f",19300000,137.8x,15,0.11%,milestone,repeatable,adapt,Corporate announcements with human-centered visuals outperform press release formats,https://www.tiktok.com/@delta/video/7564416669913845022
Delta Air Lines,7202667559999589678,2023-02-21,rule number 1: don’t leave mom on read. rule number 2: enjoy free wi-fi on domestic flights when you,15900000,113.6x,5,0.69%,promo,repeatable,adapt,"Product announcements succeed when they feel like content, not ads",https://www.tiktok.com/@delta/video/7202667559999589678
Delta Air Lines,7195245073154575659,2023-02-01,we pinky promise it’s here - free wi-fi is rolling out now 🫶 #deltaairlines #freewifi ,14300000,102.1x,6,2.11%,promo,repeatable,adapt,Promotional content needs TikTok-native execution — Flair deals with personality would perform,https://www.tiktok.com/@delta/video/7195245073154575659
Frontier Airlines,7604656245215137038,2026-02-09,"For years, John Leonard tried to get a jet. Frontier finally made it happen. Now, John is stocked up",10000000,170.1x,23,0.04%,creator-collab,repeatable,steal,This creator collab content pattern is directly replicable for Flair,https://www.tiktok.com/@flyfrontier/video/7604656245215137038
Frontier Airlines,7451691022557416735,2024-12-23,Our All-You-Can-Fly Annual Pass is HERE! Get unlimited travel for only $499*! ✈️  Learn more by visi,3900000,66.3x,15,0.54%,promo,repeatable,steal,Value propositions delivered with personality outperform corporate promotional posts,https://www.tiktok.com/@flyfrontier/video/7451691022557416735
Frontier Airlines,7205994481445784878,2023-03-02,just can’t say no to that $19* flight #dontputtheblameonme #flyfrontier #frontierairlines #fyp #plan,2100000,35.7x,7,9.72%,trend-participation,repeatable,steal,Jumping on trends with airline-specific twists is high-ROI content — fast turnaround matters more than polish,https://www.tiktok.com/@flyfrontier/video/7205994481445784878
Frontier Airlines,7374559496036764971,2024-05-29,"Graduating kindergarten calls for a sky-high celebration. 🎉

When Xavier missed his kindergarten gra",1500000,25.5x,55,20.46%,passenger-story,repeatable,steal,Surprising passengers with in-flight moments creates highly shareable content,https://www.tiktok.com/@flyfrontier/video/7374559496036764971
Frontier Airlines,7226094100649463086,2023-04-25,"Can you reach me? No, you can’t.  #flyfrontier #frontierairlines #aviationlovers #nobodysheardfromme",1400000,23.8x,4,7.21%,behind-the-scenes,repeatable,steal,New aircraft or fleet content generates excitement even for budget carriers,https://www.tiktok.com/@flyfrontier/video/7226094100649463086
Hawaiian Airlines,7344880250016304426,2024-03-10,"They’re Hawaiian Airlines flight attendants… ✈️💜🌺

#HawaiianAirlines #PualaniProud #FlightAttendant ",2600000,57.0x,29,5.98%,crew-moment,repeatable,steal,Crew content with trending audio is a proven formula for budget carriers,https://www.tiktok.com/@hawaiianair/video/7344880250016304426
Hawaiian Airlines,7337060520484343086,2024-02-18,"POV: you land in Hawaiʻi. 🌺✈️

#hawaii #travel #hawaiianairlines #fyp #aviation #avgeek ",1500000,32.9x,9,15.28%,behind-the-scenes,repeatable,steal,Short-form BTS of operations humanizes the brand and feeds aviation enthusiasm,https://www.tiktok.com/@hawaiianair/video/7337060520484343086
Hawaiian Airlines,7184188693866040622,2023-01-02,"So awesome😌✨

#HawaiianAirlines #FirstClass #Pog
#Travel #Hawaii #VacationMode",1000000,21.9x,5,1.58%,destination,repeatable,adapt,Destination content works but Flair should focus on Canadian domestic and sun destinations,https://www.tiktok.com/@hawaiianair/video/7184188693866040622
Hawaiian Airlines,7283629869215288622,2023-09-27,Looking for something fun to add to your Hawai‘i itinerary? Here are our followers’ responses when a,999000,21.9x,26,0.38%,destination,repeatable,adapt,Destination content works but Flair should focus on Canadian domestic and sun destinations,https://www.tiktok.com/@hawaiianair/video/7283629869215288622
Hawaiian Airlines,7194549809770958122,2023-01-30,"Just being honest, we have all done it💁🏻‍♀️✈️

#HawaiianAirlines #Traveling #VacationMode #Oahu #Haw",963700,21.1x,7,1.20%,destination,repeatable,adapt,Route announcement content performs well — adapt the format to Flair's network expansion,https://www.tiktok.com/@hawaiianair/video/7194549809770958122
JetBlue,7525503457109789982,2025-07-10,"Our TrueBlue customer, Gurnaj, really said: challenge accepted. 

Congrats to being the first to fin",1200000,66.7x,11,6.10%,passenger-story,repeatable,steal,Emotional passenger stories drive the highest share rates in airline TikTok,https://www.tiktok.com/@jetblue/video/7525503457109789982
JetBlue,7462856630070267166,2025-01-22,"Press play on your next adventure. 🎮 Created in partnership with @geoguessr, travel the world withou",1200000,66.7x,14,0.21%,destination,repeatable,adapt,Destination content works but Flair should focus on Canadian domestic and sun destinations,https://www.tiktok.com/@jetblue/video/7462856630070267166
JetBlue,7483301332774898974,2025-03-18,"An islander, born and raised🗽",788000,43.8x,11,18.53%,behind-the-scenes,repeatable,steal,Behind-the-scenes operations content satisfies curiosity and builds trust,https://www.tiktok.com/@jetblue/video/7483301332774898974
JetBlue,7503578491149995294,2025-05-12,Gave the Gen Z employee an opportunity and he flew with it…,409600,22.7x,34,10.46%,humor,repeatable,steal,Playful self-deprecation turns brand perception into content advantage,https://www.tiktok.com/@jetblue/video/7503578491149995294
JetBlue,7499588915137924383,2025-05-01,They passed security. They made the cart. They’re stealing the spotlight. 🍪✈️🔥 Coming to a snack car,336700,18.7x,7,6.88%,promo,repeatable,steal,Price-led content works when it feels native to TikTok — avoid traditional ad formats,https://www.tiktok.com/@jetblue/video/7499588915137924383
Southwest Airlines,7197534710090812715,2023-02-07,"We were honored to fly our loyal friend and hero, Kaya, home to rest after a lifetime of hard work. ",26600000,212.6x,86,22.09%,passenger-story,repeatable,steal,"UGC-style passenger content drives both shares and saves, signaling high value",https://www.tiktok.com/@southwestair/video/7197534710090812715
Southwest Airlines,7345894839289957663,2024-03-13,"Talk about precious cargo 🥰

#southwestheart #southwestfamily #pilotlife #fatherdaughter ",17200000,137.5x,45,12.32%,crew-moment,repeatable,steal,Crew content with trending audio is a proven formula for budget carriers,https://www.tiktok.com/@southwestair/video/7345894839289957663
Southwest Airlines,7234591331652209963,2023-05-18,Petition to make RJ the official Southwest greeter? #traveltok #hi #southwestheart ,15800000,126.3x,28,8.82%,passenger-story,repeatable,steal,Emotional passenger stories drive the highest share rates in airline TikTok,https://www.tiktok.com/@southwestair/video/7234591331652209963
Southwest Airlines,7390364544947735838,2024-07-11,"🗣��Now boarding for SEC country! 

We’re proud to announce that we are now the official airline of t",7500000,59.9x,30,0.04%,milestone,brand-specific,ignore,"Premium/brand-specific content not transferable to Flair's budget positioning — observe the format, not the execution",https://www.tiktok.com/@southwestair/video/7390364544947735838
Southwest Airlines,7258336605746793771,2023-07-21,"You’re going to want to watch this video until the end, trust us🥹❤️💙💛
#feelgood #goodnews #heart #fl",4300000,34.4x,91,6.07%,crew-moment,repeatable,steal,Crew personality content consistently outperforms polished brand content — Flair should launch a recurring crew series,https://www.tiktok.com/@southwestair/video/7258336605746793771
Spirit Airlines,7241249157699145003,2023-06-05,"⚠️🛫MAJOR NEW PLANE ALERT🛫⚠️

We’re welcoming our first Airbus A321neo to our growing fleet! A321’s a",6900000,146.1x,9,9.41%,behind-the-scenes,repeatable,steal,Short-form BTS of operations humanizes the brand and feeds aviation enthusiasm,https://www.tiktok.com/@spiritairlines/video/7241249157699145003
Spirit Airlines,7518397990176820493,2025-06-21,"IYKYK 😉
#spirit #holyairball #holyfreakingairball #travel #flights ",2100000,44.5x,15,4.82%,trend-participation,repeatable,steal,Audio trends with brand overlay require minimal production and deliver outsized reach,https://www.tiktok.com/@spiritairlines/video/7518397990176820493
Spirit Airlines,7494272772382936366,2025-04-17,God forbid we have your back #spirit #godforbid,1400000,29.6x,8,5.13%,trend-participation,repeatable,steal,Audio trends with brand overlay require minimal production and deliver outsized reach,https://www.tiktok.com/@spiritairlines/video/7494272772382936366
Spirit Airlines,7536214140482882871,2025-08-08,Stir the pot and comment why you like flying with us 🤷 #spirit #stirthepot,1000000,21.2x,7,4.30%,trend-participation,repeatable,steal,Speed-to-trend matters more than production value on TikTok,https://www.tiktok.com/@spiritairlines/video/7536214140482882871
Spirit Airlines,7439830291289607466,2024-11-21,yellow suits us #aviation #aviationhistorymonth #spirit #plane,768600,16.3x,8,5.90%,behind-the-scenes,repeatable,steal,Behind-the-scenes operations content satisfies curiosity and builds trust,https://www.tiktok.com/@spiritairlines/video/7439830291289607466
United Airlines,7098397999377829162,2022-05-16,two peas in a plane #unitedairlines #traveltiktok #bestfriend #flightattendants,21100000,34.2x,5,1.45%,crew-moment,repeatable,steal,Flight attendant-led content drives massive engagement; Flair crew could be the brand's TikTok voice,https://www.tiktok.com/@united/video/7098397999377829162
United Airlines,7368970980401728811,2024-05-14,"happy early birthday, we got you your own airport personal assistant📱

🎥: @LAXtoLuxury ✈️ Michelle #",16200000,26.2x,60,0.23%,creator-collab,repeatable,adapt,Creator collabs amplify reach but need to feel organic — Canadian creators in Flair's demo would work,https://www.tiktok.com/@united/video/7368970980401728811
United Airlines,7134784264482213163,2022-08-22,where we flying besties?! #Flight #Traveling #Airline #TravelTok #ThisOrThat #Destination #fyp,11300000,18.3x,11,0.66%,destination,repeatable,adapt,Destination content works but Flair should focus on Canadian domestic and sun destinations,https://www.tiktok.com/@united/video/7134784264482213163
United Airlines,7353736977692347694,2024-04-03,"think portrait, not landscape 🧳 #Airplane #UnitedAirlines #Aviation #Travel #Traveling #TravelHack #",10000000,16.2x,9,2.44%,behind-the-scenes,repeatable,steal,Aviation geek content has a massive built-in audience — aircraft and operations content performs reliably,https://www.tiktok.com/@united/video/7353736977692347694
United Airlines,7085460538574032174,2022-04-11,you’re not flying until you’re flying with @Aly and AJ ✈️ #potentialbreakupsong,9300000,15.1x,29,8.16%,creator-collab,brand-specific,ignore,"Premium/brand-specific content not transferable to Flair's budget positioning — observe the format, not the execution",https://www.tiktok.com/@united/video/7085460538574032174
WestJet,7410478126091865349,2024-09-03,"There are plenty of reasons to travel, and if you needed another, ✈️🌍 check out our link in bio. #We",596900,25.1x,23,0.22%,promo,repeatable,steal,Flash deal content with urgency mechanics drives both engagement and conversion signals,https://www.tiktok.com/@westjet/video/7410478126091865349
WestJet,7312498856837778693,2023-12-14,"We tried to keep a secret and not tell a Seoul!
 
We are excited to announce that we will offer dire",576300,24.2x,11,0.22%,destination,repeatable,steal,Travel aspiration content paired with route announcements amplifies reach,https://www.tiktok.com/@westjet/video/7312498856837778693
WestJet,7382618431054449926,2024-06-20,"Follow our WestJetters' lead and jump into summer! 

Wherever your journey takes you, we hope it's y",308400,12.9x,28,0.83%,crew-moment,repeatable,steal,Flight attendant-led content drives massive engagement; Flair crew could be the brand's TikTok voice,https://www.tiktok.com/@westjet/video/7382618431054449926
WestJet,7424517539650080006,2024-10-11,Helpful tip heading into the long weekend! 💡🧳 #traveltip #traveltok #westjet,297800,12.5x,10,0.66%,behind-the-scenes,repeatable,steal,New aircraft or fleet content generates excitement even for budget carriers,https://www.tiktok.com/@westjet/video/7424517539650080006
WestJet,7161444492657118469,2022-11-02,Where are you headed on your next getaway? ☺️✈️ #WestJet  ,287100,12.0x,12,1.37%,behind-the-scenes,repeatable,steal,Aviation geek content has a massive built-in audience — aircraft and operations content performs reliably,https://www.tiktok.com/@westjet/video/7161444492657118469
British Airways,7185569523230133510,2023-01-06,We’ve landed on TikTok (and we’ve got a new look) 👋 👀 #BritishAirways #BA #Aviation #Uniform #Fyp   ,8400000,34.4x,25,1.68%,behind-the-scenes,repeatable,steal,Aviation geek content has a massive built-in audience — aircraft and operations content performs reliably,https://www.tiktok.com/@british_airways/video/7185569523230133510
British Airways,7215882133456293126,2023-03-29,@Lewis Capaldi  🤝 ultimate cabin crew. Lewis gave us a sneak peek of his upcoming single ‘Wish You T,2000000,8.2x,90,10.85%,crew-moment,brand-specific,ignore,"Premium/brand-specific content not transferable to Flair's budget positioning — observe the format, not the execution",https://www.tiktok.com/@british_airways/video/7215882133456293126
British Airways,7481309446065425686,2025-03-13,"Spotted: the @Charles Leclerc of the aviation world 😳 Fancy a race @ferrari? 🏁🏆🏎️ @Formula 1 
#Briti",1500000,6.1x,7,12.13%,behind-the-scenes,brand-specific,ignore,"Premium/brand-specific content not transferable to Flair's budget positioning — observe the format, not the execution",https://www.tiktok.com/@british_airways/video/7481309446065425686
British Airways,7334290396400438560,2024-02-11,We never go out of style ✈️😏 Customers on board flight BA275 to Las Vegas yesterday were treated to ,1200000,4.9x,41,8.76%,crew-moment,brand-specific,ignore,"Premium/brand-specific content not transferable to Flair's budget positioning — observe the format, not the execution",https://www.tiktok.com/@british_airways/video/7334290396400438560
British Airways,7369609485431688481,2024-05-16,"Looking neat 🔥 Our next-generation short-haul seats have landed on G-TNED, our new A321neo aircraft ",1100000,4.5x,14,5.74%,behind-the-scenes,repeatable,steal,Short-form BTS of operations humanizes the brand and feeds aviation enthusiasm,https://www.tiktok.com/@british_airways/video/7369609485431688481
EasyJet,7224592419700886810,2023-04-21,We’re thrilled to be a National Partner of The Eurovision Song Contest 2023 and proud to support thi,6000000,7.3x,40,0.82%,destination,repeatable,steal,Travel aspiration content paired with route announcements amplifies reach,https://www.tiktok.com/@easyjet/video/7224592419700886810
EasyJet,7096877917103328518,2022-05-12,Are we nearly there yet? 🤔 #fyp #aviation #airline #easyjet #easyjetcrew #viral #cabincrewlife #cabi,4000000,4.9x,5,1.08%,crew-moment,repeatable,steal,Crew content with trending audio is a proven formula for budget carriers,https://www.tiktok.com/@easyjet/video/7096877917103328518
EasyJet,7135395974809160966,2022-08-24,Game changer? We think so 📱🧡 #travelhack #phonehack # #airline #easyjet #easyjetcrew #viral  #cabinc,3900000,4.8x,37,7.68%,crew-moment,repeatable,steal,Crew personality content consistently outperforms polished brand content — Flair should launch a recurring crew series,https://www.tiktok.com/@easyjet/video/7135395974809160966
EasyJet,7066093435626802437,2022-02-18,Our office > your office 🤌 #airline #fyp #easyjet #easyjetcrew #viral #cabincrewlife #cabincrew #avi,3800000,4.6x,23,0.62%,crew-moment,repeatable,steal,Flight attendant-led content drives massive engagement; Flair crew could be the brand's TikTok voice,https://www.tiktok.com/@easyjet/video/7066093435626802437
EasyJet,7462841955710455072,2025-01-22,"Put it in the Louvre x

#JaneBoulton #Airline #Hopecore #easyJet @Jane Boulton ",2900000,3.5x,12,12.54%,creator-collab,repeatable,steal,This creator collab content pattern is directly replicable for Flair,https://www.tiktok.com/@easyjet/video/7462841955710455072
Icelandair,7571117722965216534,2025-11-10,"We know Iceland seems unreal, but some folks are taking it a bit too far. Is Iceland real, or just t",191600,11.0x,117,6.27%,behind-the-scenes,repeatable,steal,Behind-the-scenes operations content satisfies curiosity and builds trust,https://www.tiktok.com/@icelandair_official/video/7571117722965216534
